CIDADES;jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez
CARLOS GOMES;1;0;0;1;0;0;0;0;1;1;0;1
CASCA;0;2;1;0;0;1;2;4;0;1;3;1
CASEIROS;3;0;2;0;0;0;1;0;1;0;2;1
CATUIPE;1;4;4;5;2;0;4;3;3;5;1;4
CAXIAS DO SUL;122;109;117;91;92;112;87;100;106;109;134;94
CENTENARIO;1;0;0;2;0;0;1;0;0;0;0;0
CERRITO;0;2;1;0;0;5;0;1;3;1;0;1
CERRO BRANCO;1;1;1;0;1;0;0;0;1;2;1;2
CERRO GRANDE;2;0;1;0;0;0;1;1;0;0;0;0
CERRO GRANDE DO SUL;0;0;4;1;0;2;1;6;4;4;3;4
CERRO LARGO;2;1;1;2;4;1;3;3;3;3;2;1
CHAPADA;2;2;2;1;0;3;1;1;1;2;1;2
CHARQUEADAS;18;15;6;6;3;6;4;14;5;4;9;9
CHARRUA;0;1;1;0;0;0;0;0;0;0;0;0
CHIAPETTA;1;1;2;0;1;0;0;1;0;0;1;0
CHUI;6;2;1;5;1;1;3;1;0;4;4;5
CHUVISCA;2;0;0;2;1;0;1;1;0;0;1;1
CIDREIRA;11;5;4;2;6;3;9;9;6;12;6;2
CIRIACO;2;1;1;1;1;2;1;0;2;6;1;0
COLINAS;0;0;0;0;0;0;0;3;0;0;0;2
COLORADO;0;1;0;0;0;0;1;0;0;1;2;0
CONDOR;3;0;1;0;2;2;2;4;3;0;3;4
CONSTANTINA;4;0;2;2;2;1;4;3;4;4;2;3
COQUEIRO BAIXO;0;0;0;0;0;0;0;0;0;0;0;0
COQUEIROS DO SUL;1;0;0;0;0;0;0;0;0;0;1;0
CORONEL BARROS;0;0;0;0;0;1;0;0;0;0;0;0
CORONEL BICACO;5;7;1;1;2;2;1;1;0;2;5;4
CORONEL PILAR;0;0;0;0;0;0;0;0;0;0;1;0
COTIPORA;2;0;0;0;1;2;0;0;1;1;0;1
COXILHA;0;3;0;2;1;0;3;3;1;1;2;1
CRISSIUMAL;6;3;6;4;5;4;6;4;4;6;5;3
CRISTAL;2;3;5;0;3;2;1;1;0;1;0;2
CRISTAL DO SUL;0;0;1;2;0;0;0;0;0;0;1;0
CRUZ ALTA;40;20;30;32;17;17;26;22;32;34;31;25
CRUZALTENSE;0;0;0;1;1;1;1;0;0;0;0;0
CRUZEIRO DO SUL;4;5;5;2;2;2;5;7;1;0;3;7
DAVID CANABARRO;2;0;0;0;0;0;0;1;4;1;1;0
DERRUBADAS;1;1;2;1;0;1;1;1;0;0;0;0
DEZESSEIS DE NOVEMBRO;0;0;0;0;0;0;0;1;1;0;0;0
DILERMANDO DE AGUIAR;1;0;0;0;0;0;0;1;1;2;0;0
DOIS IRMAOS;9;12;14;11;8;2;5;9;15;12;6;9
DOIS IRMAOS DAS MISSOES;0;0;0;1;0;0;0;0;0;0;0;1
DOIS LAJEADOS;0;1;0;0;1;0;0;0;2;0;0;1
DOM FELICIANO;1;6;4;3;3;2;7;4;5;4;0;5
DOM PEDRITO;14;19;15;8;13;7;6;10;8;8;10;7
DOM PEDRO DE ALCANTARA;0;0;1;0;0;0;1;0;0;1;0;0
DONA FRANCISCA;0;3;1;1;1;1;1;1;1;1;3;2
DOUTOR RICARDO;1;0;0;1;0;1;0;1;0;1;0;1
DR MAURICIO CARDOSO;0;0;2;1;3;0;1;0;1;1;0;0
ELDORADO DO SUL;21;3;11;11;6;11;13;12;12;16;11;9
ENCANTADO;8;9;7;9;7;12;4;3;5;6;3;5
ENCRUZILHADA DO SUL;3;10;11;8;5;4;5;9;4;6;2;5
ENGENHO VELHO;1;0;0;0;0;0;0;0;1;0;0;0
ENTRE IJUIS;3;1;3;4;6;3;0;2;2;0;2;0
ENTRE RIOS DO SUL;3;1;0;2;1;0;3;2;5;2;0;1
EREBANGO;2;2;0;3;1;1;1;0;1;2;0;1
ERECHIM;51;43;63;69;48;54;46;39;30;64;53;37
ERNESTINA;2;0;0;1;0;0;0;2;0;1;0;1
ERVAL GRANDE;5;1;0;1;3;4;1;0;0;0;2;1
ERVAL SECO;1;4;2;3;3;2;1;4;3;1;2;1
ESMERALDA;1;2;1;2;0;2;2;0;0;0;0;1
ESPERANCA DO SUL;0;0;0;1;0;1;1;1;3;0;0;1
ESPUMOSO;8;6;7;7;0;6;3;3;4;4;4;4
ESTACAO;1;0;1;0;2;1;0;4;2;1;1;2
ESTANCIA VELHA;18;13;22;13;9;9;16;14;14;12;12;12
ESTEIO;24;23;22;19;17;21;17;15;22;15;22;19
ESTRELA;16;9;11;9;9;12;5;8;4;7;6;8
ESTRELA VELHA;2;1;1;0;0;0;1;0;2;0;2;0
EUGENIO DE CASTRO;2;1;1;1;0;0;2;2;1;0;2;0
FAGUNDES VARELA;0;0;0;0;0;0;0;1;0;0;0;0
FARROUPILHA;26;14;14;19;17;16;18;15;19;24;15;18
FAXINAL DO SOTURNO;6;1;0;1;5;0;3;1;1;3;1;1
FAXINALZINHO;0;0;0;0;1;0;0;0;0;0;0;2
FAZENDA VILA NOVA;1;0;2;0;0;0;4;0;1;1;2;0
FELIZ;1;0;1;1;2;0;1;3;1;1;1;2
FLORES DA CUNHA;5;7;4;3;3;2;8;3;10;4;5;5
FLORIANO PEIXOTO;1;0;0;2;0;1;1;1;2;0;0;1
FONTOURA XAVIER;5;5;3;6;3;2;2;1;3;1;5;6
FORMIGUEIRO;3;1;4;3;4;2;2;2;2;2;3;1
FORQUETINHA;0;0;0;3;0;0;0;0;0;1;0;1
FORTALEZA DOS VALOS;1;1;1;0;1;0;1;1;1;1;1;1
FREDERICO WESTPHALEN;23;18;8;14;19;9;12;17;9;18;18;19
GARIBALDI;13;3;3;4;7;4;6;5;1;6;8;1
GARRUCHOS;0;0;0;0;0;0;0;0;0;2;1;0
GAURAMA;2;2;1;6;0;1;1;0;2;5;1;1
GENERAL CAMARA;6;6;2;0;0;0;4;1;1;2;4;5
GENTIL;1;0;1;0;0;0;1;0;1;1;0;1
GETULIO VARGAS;5;8;3;8;3;6;4;4;5;9;5;4
GIRUA;6;5;7;5;6;2;6;9;5;6;7;8
GLORINHA;1;2;9;2;1;2;3;2;3;1;2;1
GRAMADO;3;10;6;10;5;10;5;9;11;12;9;7
GRAMADO DOS LOUREIROS;0;0;0;0;1;3;0;2;0;0;1;0
GRAMADO XAVIER;0;2;0;2;0;0;0;2;1;0;1;0
GRAVATAI;95;87;70;74;73;59;60;73;60;70;69;77
GUABIJU;0;0;0;0;0;0;0;0;0;0;1;0
GUAIBA;32;34;42;26;19;26;24;38;33;34;25;39
GUAPORE;7;6;8;14;7;11;7;6;8;15;7;7
GUARANI DAS MISSOES;1;1;3;1;2;1;4;3;3;2;4;10
HARMONIA;1;0;0;1;0;0;1;0;0;0;2;0
HERVAL;1;3;1;1;1;2;2;3;0;6;1;1
HERVEIRAS;0;0;1;1;0;0;0;0;0;0;0;0
HORIZONTINA;0;3;5;6;7;4;2;5;7;7;4;6
HULHA NEGRA;2;0;1;1;1;0;2;0;0;1;0;1
HUMAITA;0;1;0;1;1;3;0;3;1;2;2;0
IBARAMA;1;4;1;2;3;1;0;0;2;3;0;2
IBIACA;0;1;0;2;1;0;2;1;0;0;0;0
IBIRAIARAS;3;3;1;1;2;2;2;2;4;1;2;0
IBIRAPUITA;0;1;0;0;1;0;1;1;1;0;1;0
IBIRUBA;6;4;2;7;4;4;2;1;6;1;3;5
IGREJINHA;14;5;6;8;5;4;5;10;6;10;9;17
IJUI;56;29;46;32;29;19;19;28;33;34;30;44
ILOPOLIS;0;1;0;0;0;0;0;2;0;0;1;0
IMBE;12;20;8;5;13;4;10;8;8;4;10;6
IMIGRANTE;0;1;0;0;0;0;0;0;1;1;1;2
INDEPENDENCIA;4;1;5;1;1;0;1;1;1;2;3;4
INHACORA;0;0;1;0;0;2;0;1;0;0;0;1
IPE;0;3;0;0;1;1;1;1;0;0;2;0
IPIRANGA DO SUL;1;0;1;0;0;0;0;0;0;0;0;1
IRAI;6;1;8;3;6;5;4;3;4;4;3;1
ITAARA;0;3;2;2;1;0;2;3;3;3;0;0
ITACURUBI;0;0;0;0;0;1;1;0;1;1;1;0
ITAPUCA;0;0;1;0;0;0;0;0;1;0;0;0
ITAQUI;16;10;8;6;9;7;10;4;11;12;8;12
ITATI;0;0;3;0;0;1;0;2;1;0;0;0
ITATIBA DO SUL;1;2;1;2;0;1;0;3;2;1;2;0
IVORA;0;1;1;0;0;0;1;0;0;0;0;1
IVOTI;3;1;2;1;5;6;3;3;6;4;3;2
JABOTICABA;3;0;1;0;3;3;0;1;0;1;0;0
JACUIZINHO;0;0;0;0;2;1;0;0;0;0;0;0
JACUTINGA;0;1;2;2;3;2;0;0;1;0;1;0
JAGUARAO;7;14;6;7;4;8;12;8;9;3;8;11
JAGUARI;4;3;3;3;5;2;1;2;2;2;4;5
JAQUIRANA;1;1;1;0;0;0;2;1;0;1;0;1
JARI;1;0;1;0;1;0;0;0;0;0;1;0
JOIA;1;0;0;1;1;2;0;0;1;3;1;0
JULIO DE CASTILHOS;12;6;14;9;7;6;6;8;7;5;9;12
LAGOA BONITA DO SUL;0;0;0;0;0;0;0;0;0;0;1;0
LAGOA DOS TRES CANTOS;0;0;1;0;1;0;0;0;0;0;0;0
LAGOA VERMELHA;20;13;18;22;12;12;28;14;16;14;11;15
LAGOAO;0;2;1;2;0;1;1;0;1;0;1;4
LAJEADO;19;32;29;21;28;22;23;28;30;23;33;24
LAJEADO DO BUGRE;0;0;1;0;1;1;0;0;1;0;1;0
LAVRAS DO SUL;1;4;3;1;2;0;0;1;1;2;1;0
LIBERATO SALZANO;1;0;1;0;1;1;1;0;0;0;0;2
LINDOLFO COLLOR;2;2;4;3;1;2;0;1;0;0;1;2
LINHA NOVA;0;0;0;0;1;0;1;0;0;1;0;1
MACAMBARA;1;1;0;1;0;0;2;0;0;1;1;2
MACHADINHO;1;2;4;2;4;4;2;3;1;2;3;5
MAMPITUBA;4;0;0;3;1;1;0;1;0;0;0;0
MANOEL VIANA;1;1;3;3;1;1;3;2;1;3;4;3
MAQUINE;4;3;3;0;2;1;1;1;0;1;3;3
MARATA;0;1;0;0;0;1;0;0;1;1;0;1
MARAU;14;18;10;9;11;3;8;9;24;16;20;12
MARCELINO RAMOS;4;1;0;0;0;0;1;1;0;0;2;2
MARIANA PIMENTEL;0;0;1;1;1;0;0;2;0;2;0;0
MARIANO MORO;1;1;0;0;2;0;0;1;3;1;1;1
MARQUES DE SOUZA;0;2;1;0;0;0;0;0;4;0;0;2
MATA;0;2;1;0;0;2;1;1;1;0;2;3
MATO CASTELHANO;0;2;0;0;1;1;0;0;0;0;0;1
MATO LEITAO;0;1;2;0;0;0;0;0;1;3;0;2
MATO QUEIMADO;0;0;0;0;1;0;0;0;0;0;0;0
MAXIMILIANO DE ALMEIDA;3;0;1;1;3;3;2;1;2;1;1;0
MINAS DO LEAO;3;1;2;1;1;0;2;2;1;0;1;5
MIRAGUAI;2;4;1;4;2;2;3;2;1;1;3;5
MONTAURI;1;0;0;1;0;0;0;0;0;0;1;0
MONTE ALEGRE DOS CAMPOS;0;0;1;2;1;0;0;0;0;0;0;1
MONTE BELO DO SUL;0;0;0;0;0;0;2;0;0;1;1;0
MONTENEGRO;22;16;20;21;21;17;17;20;17;21;24;21
MORMACO;1;1;1;0;0;1;0;0;0;0;0;0
MORRINHOS DO SUL;0;1;1;0;0;0;2;0;1;1;0;3
MORRO REDONDO;2;1;0;0;1;2;4;1;1;0;1;1
MORRO REUTER;1;0;0;0;1;0;1;0;1;0;0;0
MOSTARDAS;4;2;5;4;3;1;1;1;4;3;1;2
MUCUM;0;2;1;0;3;0;0;3;1;4;3;3
MUITOS CAPOES;1;0;0;0;0;0;0;1;1;0;0;1
MULITERNO;0;0;0;1;1;0;0;0;1;0;0;0
NAO-ME-TOQUE;13;1;2;6;7;7;3;1;1;1;2;5
NICOLAU VERGUEIRO;0;1;0;1;0;0;0;0;1;0;0;0
NONOAI;3;6;1;5;2;2;5;5;2;4;2;5
NOVA ALVORADA;1;3;0;0;3;1;0;1;1;1;2;0
NOVA ARACA;0;1;0;1;0;0;0;0;0;0;0;0
NOVA BASSANO;1;0;0;0;2;1;1;1;1;1;3;0
NOVA BOA VISTA;0;0;0;1;0;1;0;0;1;0;0;0
NOVA BRESCIA;0;0;1;0;4;0;1;0;1;1;0;0
NOVA CANDELARIA;0;1;1;0;0;0;0;0;0;0;1;0
NOVA ESPERANCA DO SUL;1;1;2;0;2;0;2;0;1;0;0;1
NOVA HARTZ;8;5;9;12;8;10;5;6;4;5;13;6
NOVA PADUA;0;0;0;0;0;0;0;1;0;0;1;0
NOVA PALMA;0;0;0;1;1;1;0;0;0;3;3;1
NOVA PETROPOLIS;3;4;6;3;5;3;0;3;6;2;5;3
NOVA PRATA;11;6;2;6;4;5;4;7;2;6;8;4
NOVA RAMADA;0;1;0;0;0;1;0;0;0;0;0;0
NOVA ROMA DO SUL;4;1;0;1;1;0;0;0;3;0;1;0
NOVA SANTA RITA;10;7;10;9;12;11;10;7;5;7;7;5
NOVO BARREIRO;1;1;2;1;2;0;1;0;0;1;1;0
NOVO CABRAIS;2;0;0;2;0;3;1;1;1;3;0;0
NOVO HAMBURGO;62;76;88;63;61;53;63;58;77;76;59;76
NOVO MACHADO;0;1;1;1;1;0;0;1;0;0;2;1
NOVO TIRADENTES;1;1;1;0;0;1;1;1;0;0;0;0
NOVO XINGU;0;0;0;0;0;0;0;0;0;0;0;0
OSORIO;8;12;14;12;14;14;11;20;21;14;16;20
PAIM FILHO;0;3;0;1;0;0;1;2;0;1;1;0
PALMARES DO SUL;6;7;10;2;3;0;0;3;0;0;1;4
PALMEIRA DAS MISSOES;20;20;17;16;24;13;10;10;19;16;12;21
PALMITINHO;8;3;4;1;2;5;1;3;4;6;3;2
PANAMBI;17;20;20;9;15;8;12;11;14;9;11;14
PANTANO GRANDE;7;2;3;2;4;5;2;8;2;1;4;7
PARAI;1;2;2;0;1;2;1;2;3;3;0;2
PARAISO DO SUL;4;0;0;1;1;1;2;2;1;1;0;0
PARECI NOVO;1;1;1;1;0;2;1;1;1;1;0;0
PAROBE;24;22;13;17;8;19;11;11;9;19;14;12
PASSA SETE;0;0;2;0;1;0;1;1;0;0;2;0
PASSO DO SOBRADO;1;0;1;3;2;1;0;2;0;0;1;2
PASSO FUNDO;99;83;97;98;91;95;89;76;92;83;99;79
PAULO BENTO;0;0;0;0;0;0;1;0;1;0;0;0
PAVERAMA;6;2;1;0;2;0;1;2;7;3;1;1
PEDRAS ALTAS;2;0;1;0;1;0;0;0;1;0;0;0
PEDRO OSORIO;4;3;1;3;5;3;0;4;3;1;5;3
PEJUCARA;2;1;2;0;0;0;0;0;1;0;2;3
PELOTAS;97;83;79;90;75;62;58;75;96;77;73;85
PICADA CAFE;0;1;0;0;1;1;1;0;0;0;0;0
PINHAL;1;1;0;0;2;0;1;1;0;0;2;1
PINHAL DA SERRA;2;1;1;0;1;0;0;0;0;2;0;0
PINHAL GRANDE;0;1;2;0;1;1;0;0;1;1;4;0
PINHEIRINHO DO VALE;1;2;1;0;0;2;0;1;1;1;2;1
PINHEIRO MACHADO;3;1;4;1;2;1;3;3;3;4;3;1
PINTO BANDEIRA;0;2;0;0;0;0;0;2;1;0;0;0
PIRAPO;0;1;0;0;0;0;0;0;1;1;1;0
PIRATINI;2;3;8;7;2;5;5;2;1;2;7;6
PLANALTO;8;1;5;3;4;4;4;4;5;1;5;2
POCO DAS ANTAS;2;0;0;1;2;1;0;0;0;0;0;0
PONTAO;0;0;2;2;1;0;0;1;1;0;1;1
PONTE PRETA;0;0;0;0;0;1;0;0;0;1;0;0
PORTAO;13;10;9;7;6;11;6;9;10;6;10;9
PORTO ALEGRE;403;354;404;368;307;305;308;312;306;328;331;356
PORTO LUCENA;1;0;1;0;1;0;1;2;1;0;1;0
PORTO MAUA;0;0;0;0;0;1;2;1;0;2;5;0
PORTO VERA CRUZ;3;2;0;0;1;0;0;0;1;0;0;1
PORTO XAVIER;5;2;1;5;8;5;7;3;5;3;5;4
POUSO NOVO;0;0;0;0;0;2;0;0;0;0;0;0
PRESIDENTE LUCENA;0;0;0;0;0;0;0;0;0;0;0;0
PROGRESSO;1;0;0;1;1;1;0;3;3;0;6;1
PROTASIO ALVES;2;1;0;1;0;0;2;0;1;0;0;1
PUTINGA;1;2;2;2;2;2;0;1;2;0;0;0
QUARAI;9;2;3;3;3;5;4;4;5;5;4;5
QUATRO IRMAOS;0;1;1;0;0;0;0;0;1;0;1;0
QUEVEDOS;1;0;1;0;1;1;0;0;0;0;0;0
QUINZE DE NOVEMBRO;0;2;0;0;2;0;0;0;0;0;0;0
REDENTORA;7;5;1;4;2;4;1;0;2;3;4;0
RELVADO;0;0;0;0;0;0;0;0;0;1;0;0
RESTINGA SECA;3;2;6;5;6;2;3;4;4;0;4;2
RIO DOS INDIOS;1;1;0;0;0;0;0;0;0;0;0;1
RIO GRANDE;65;56;58;56;38;60;46;61;62;58;59;51
RIO PARDO;22;16;21;16;22;16;14;17;8;10;11;17
RIOZINHO;2;0;0;1;1;0;0;2;1;1;1;1
ROCA SALES;2;1;7;4;3;5;5;11;5;7;3;0
RODEIO BONITO;1;1;3;1;3;2;2;2;1;0;1;2
ROLADOR;0;0;0;0;0;0;0;0;0;0;1;0
ROLANTE;4;1;4;3;8;4;5;11;2;6;3;9
RONDA ALTA;3;3;0;2;1;3;4;3;5;4;7;2
RONDINHA;0;2;0;0;0;0;0;1;1;0;0;1
ROQUE GONZALES;1;1;2;0;2;3;3;0;1;1;0;1
ROSARIO DO SUL;14;18;13;12;7;10;14;8;14;9;11;13
SAGRADA FAMILIA;0;0;1;1;0;0;0;4;0;2;1;0
SALDANHA MARINHO;0;0;0;0;1;0;1;0;0;0;0;1
SALTO DO JACUI;9;3;8;3;3;0;7;5;7;5;8;4
SALVADOR DAS MISSOES;0;0;0;0;0;0;0;0;0;2;0;0
SALVADOR DO SUL;2;0;1;0;3;1;1;0;2;0;0;3
SANANDUVA;2;4;4;5;2;1;2;1;2;2;4;1
SANTA BARBARA DO SUL;4;4;2;1;1;4;3;2;4;4;8;2
SANTA CECILIA DO SUL;2;0;0;1;0;0;0;0;0;0;0;0
SANTA CLARA DO SUL;1;2;0;3;1;2;2;1;1;4;1;2
SANTA CRUZ DO SUL;37;44;44;34;28;34;23;31;37;45;36;33
SANTA MARGARIDA DO SUL;0;0;1;1;0;1;0;0;0;0;0;2
SANTA MARIA;107;111;83;90;93;87;63;96;96;113;109;111
SANTA MARIA DO HERVAL;2;0;3;0;0;1;0;0;0;0;0;1
SANTA ROSA;28;22;21;31;29;21;16;33;26;29;32;38
SANTA TEREZA;0;0;0;0;0;0;0;0;0;0;0;0
SANTA VITORIA DO PALMAR;13;6;11;7;7;9;8;9;10;10;5;5
SANTANA DA BOA VISTA;1;2;5;6;5;1;2;5;4;2;3;3
SANTANA DO LIVRAMENTO;21;21;29;25;18;18;17;17;23;23;21;19
SANTIAGO;15;15;27;8;17;11;9;11;10;11;11;16
SANTO ANGELO;42;34;25;30;34;26;28;30;29;36;39;27
SANTO ANTONIO DA PATRULHA;15;16;11;11;8;9;7;13;7;6;9;6
SANTO ANTONIO DAS MISSOES;2;3;5;1;3;3;1;3;2;0;1;6
SANTO ANTONIO DO PALMA;0;0;1;0;0;0;0;0;0;0;1;0
SANTO ANTONIO DO PLANALTO;0;0;0;0;0;1;1;0;0;0;0;0
SANTO AUGUSTO;10;6;5;4;6;1;5;5;5;3;7;15
SANTO CRISTO;5;5;4;2;2;5;1;2;4;1;4;2
SANTO EXPEDITO DO SUL;0;0;0;0;1;0;0;0;0;0;0;1
SAO BORJA;23;14;13;19;13;11;10;19;20;14;25;22
SAO DOMINGOS DO SUL;1;0;0;0;0;0;0;0;0;0;0;0
SAO FRANCISCO DE ASSIS;4;3;2;2;6;3;4;4;1;5;4;0
SAO FRANCISCO DE PAULA;6;4;7;3;8;2;6;4;6;8;3;6
SAO GABRIEL;18;19;33;10;12;17;30;16;13;21;12;29
SAO JERONIMO;2;2;8;4;4;0;3;4;4;5;7;4
SAO JOAO DA URTIGA;1;0;0;1;0;1;0;2;0;0;0;0
SAO JOAO DO POLESINE;2;2;0;2;1;3;1;1;0;0;1;1
SAO JORGE;0;0;0;0;1;1;0;0;1;0;1;0
SAO JOSE DAS MISSOES;0;0;1;2;0;1;0;0;1;0;0;0
SAO JOSE DO HERVAL;1;0;0;0;1;2;0;0;2;2;1;0
SAO JOSE DO HORTENCIO;2;0;0;0;1;0;0;0;0;0;0;0
SAO JOSE DO INHACORA;0;0;0;0;0;0;0;0;1;1;0;0
SAO JOSE DO NORTE;3;5;5;5;6;2;2;0;3;8;3;5
SAO JOSE DO OURO;3;3;1;1;2;2;0;4;0;4;0;3
SAO JOSE DO SUL;0;0;0;1;0;0;0;0;0;1;0;1
SAO JOSE DOS AUSENTES;0;0;0;0;2;1;0;1;0;0;0;1
SAO LEOPOLDO;87;55;67;53;39;51;50;85;67;63;98;54
SAO LOURENCO DO SUL;5;5;5;6;8;5;6;6;5;8;4;8
SAO LUIZ GONZAGA;10;12;12;17;18;12;15;13;11;14;6;4
SAO MARCOS;7;6;4;7;2;3;2;6;7;7;6;4
SAO MARTINHO;1;0;1;0;1;0;0;0;2;0;1;4
SAO MARTINHO DA SERRA;0;1;0;1;1;1;1;0;0;0;2;2
