CIDADES;jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez
CARLOS GOMES;0;1;0;0;0;0;0;0;0;0;0;0
CASCA;1;1;0;1;2;0;0;1;0;1;0;2
CASEIROS;0;0;0;0;0;0;0;0;0;1;2;0
CATUIPE;1;0;1;0;0;1;0;1;2;3;1;1
CAXIAS DO SUL;65;66;75;51;77;66;49;53;66;64;52;64
CENTENARIO;0;0;0;0;0;0;0;2;0;0;0;0
CERRITO;1;0;3;0;0;1;0;0;1;1;0;1
CERRO BRANCO;3;0;0;1;1;0;0;0;2;0;0;1
CERRO GRANDE;0;1;0;0;0;0;1;0;0;0;1;0
CERRO GRANDE DO SUL;2;1;1;0;0;1;0;0;0;0;0;2
CERRO LARGO;6;0;4;1;2;1;1;0;0;2;1;3
CHAPADA;1;0;0;1;1;0;0;1;1;0;0;1
CHARQUEADAS;8;7;4;5;3;8;3;4;8;4;7;4
CHARRUA;0;0;0;0;0;1;0;0;0;0;0;1
CHIAPETTA;0;0;0;0;0;1;0;0;0;0;0;1
CHUI;3;0;0;0;0;0;1;3;0;2;2;0
CHUVISCA;0;1;0;0;0;1;0;0;0;0;0;0
CIDREIRA;10;10;3;7;3;5;4;3;5;7;6;4
CIRIACO;0;0;0;0;0;1;0;0;0;0;2;2
COLINAS;0;0;1;0;1;0;0;0;1;0;0;0
COLORADO;0;0;0;0;2;0;0;0;0;0;0;1
CONDOR;0;3;0;0;0;0;1;0;0;1;0;0
CONSTANTINA;2;0;0;1;1;1;1;0;0;2;1;0
COQUEIRO BAIXO;0;0;0;0;1;0;0;0;0;0;0;0
COQUEIROS DO SUL;0;0;0;0;0;1;1;0;0;0;1;0
CORONEL BARROS;0;1;0;0;0;0;0;0;1;0;0;0
CORONEL BICACO;0;0;4;0;1;1;1;1;0;1;3;3
CORONEL PILAR;0;0;0;0;0;1;0;0;0;0;0;1
COTIPORA;1;0;0;1;2;0;0;1;0;1;0;0
COXILHA;0;0;0;0;0;0;0;0;0;0;0;0
CRISSIUMAL;2;3;1;0;0;1;0;2;2;4;3;5
CRISTAL;2;1;2;2;0;0;0;0;0;0;1;0
CRISTAL DO SUL;0;0;1;0;0;0;0;0;0;0;0;0
CRUZ ALTA;18;23;25;9;10;10;18;11;12;12;17;27
CRUZALTENSE;0;0;0;0;1;0;0;0;0;0;0;0
CRUZEIRO DO SUL;3;3;2;2;0;2;0;0;1;0;2;0
DAVID CANABARRO;0;0;0;0;0;1;0;0;0;0;1;1
DERRUBADAS;1;0;0;2;0;0;0;0;0;0;0;0
DEZESSEIS DE NOVEMBRO;0;0;1;0;0;0;1;0;0;0;0;0
DILERMANDO DE AGUIAR;0;0;1;0;1;0;0;0;0;0;0;0
DOIS IRMAOS;1;2;5;3;0;3;0;2;2;3;10;2
DOIS IRMAOS DAS MISSOES;0;0;0;3;0;0;0;0;1;0;0;1
DOIS LAJEADOS;0;0;1;0;0;0;0;0;0;0;0;0
DOM FELICIANO;1;2;2;1;3;3;3;2;2;1;1;1
DOM PEDRITO;8;7;1;7;7;8;5;4;7;1;4;8
DOM PEDRO DE ALCANTARA;0;0;1;0;1;0;0;0;1;2;0;0
DONA FRANCISCA;1;0;0;1;0;1;1;1;0;0;0;2
DOUTOR RICARDO;0;0;0;0;0;0;0;0;0;0;0;0
DR MAURICIO CARDOSO;0;0;0;1;0;0;1;0;1;0;0;2
ELDORADO DO SUL;16;8;6;8;1;4;10;6;5;11;12;6
ENCANTADO;3;4;1;2;1;4;2;3;3;3;0;5
ENCRUZILHADA DO SUL;3;5;1;4;2;2;3;1;5;3;2;0
ENGENHO VELHO;0;0;0;0;0;0;0;0;0;0;0;0
ENTRE IJUIS;1;0;2;0;3;1;2;1;0;2;1;0
ENTRE RIOS DO SUL;0;0;0;0;0;0;1;0;0;0;2;0
EREBANGO;1;3;1;2;0;0;1;0;0;1;0;1
ERECHIM;33;27;26;25;24;23;22;20;24;25;32;34
ERNESTINA;0;1;0;0;2;0;0;0;0;0;1;0
ERVAL GRANDE;0;0;1;1;1;1;0;0;0;1;2;0
ERVAL SECO;0;2;0;0;1;0;0;0;0;0;0;0
ESMERALDA;1;0;0;0;0;0;0;0;1;0;0;0
ESPERANCA DO SUL;0;0;0;0;0;0;0;0;0;0;0;0
ESPUMOSO;9;3;1;0;2;2;1;1;3;2;2;3
ESTACAO;0;0;0;0;0;0;0;1;1;0;0;1
ESTANCIA VELHA;4;8;4;6;7;8;4;6;7;11;2;6
ESTEIO;11;12;10;8;16;10;16;10;11;11;16;10
ESTRELA;2;5;2;2;2;4;2;4;1;5;4;4
ESTRELA VELHA;0;0;0;0;1;1;0;0;0;0;0;0
EUGENIO DE CASTRO;0;0;0;0;0;1;0;1;0;1;0;0
FAGUNDES VARELA;0;0;0;0;0;0;1;0;0;0;0;1
FARROUPILHA;14;7;9;7;14;10;8;11;3;9;12;13
FAXINAL DO SOTURNO;1;1;1;0;6;1;1;0;1;0;2;3
FAXINALZINHO;0;0;1;0;0;0;0;1;0;2;0;0
FAZENDA VILA NOVA;0;1;1;0;1;0;1;1;1;1;0;0
FELIZ;1;3;4;2;1;2;1;0;0;2;2;4
FLORES DA CUNHA;1;2;4;0;2;3;1;3;1;5;3;4
FLORIANO PEIXOTO;0;0;0;0;0;0;1;0;1;0;0;0
FONTOURA XAVIER;1;1;2;3;0;1;0;0;1;2;0;2
FORMIGUEIRO;0;1;5;2;2;0;0;1;1;1;0;0
FORQUETINHA;1;0;0;1;0;0;0;0;0;0;2;0
FORTALEZA DOS VALOS;0;0;0;0;0;0;0;0;0;0;0;1
FREDERICO WESTPHALEN;5;5;1;3;4;6;3;3;5;0;3;6
GARIBALDI;5;7;2;3;0;3;1;0;3;5;4;5
GARRUCHOS;0;0;0;0;0;0;0;0;0;0;0;0
GAURAMA;0;0;1;0;1;0;3;0;1;1;1;1
GENERAL CAMARA;0;1;2;1;2;0;1;0;0;1;0;0
GENTIL;0;0;1;0;0;0;0;0;0;1;0;0
GETULIO VARGAS;2;3;4;3;1;2;2;1;6;2;7;2
GIRUA;2;1;1;2;0;2;3;3;4;1;2;2
GLORINHA;1;0;1;0;0;0;0;0;0;0;1;0
GRAMADO;2;12;8;7;6;6;2;7;8;5;14;6
GRAMADO DOS LOUREIROS;0;0;0;0;0;0;0;0;0;2;1;0
GRAMADO XAVIER;0;0;0;0;0;0;0;0;0;0;0;0
GRAVATAI;44;52;49;44;38;44;34;27;41;36;42;42
GUABIJU;0;1;0;0;0;0;0;0;0;0;0;0
GUAIBA;25;24;15;10;12;13;10;10;16;15;13;21
GUAPORE;0;5;2;4;4;3;4;2;3;3;4;4
GUARANI DAS MISSOES;1;1;1;1;0;0;0;0;3;0;0;4
HARMONIA;1;0;0;0;0;0;0;0;0;0;0;0
HERVAL;0;2;2;1;4;0;0;1;0;0;2;0
HERVEIRAS;0;0;0;2;0;0;0;0;0;0;1;2
HORIZONTINA;1;4;3;6;1;4;0;2;2;3;2;2
HULHA NEGRA;0;0;1;0;0;0;2;1;2;0;0;1
HUMAITA;0;0;1;0;0;0;0;0;0;2;0;0
IBARAMA;1;1;0;1;0;0;0;1;1;0;1;0
IBIACA;1;0;0;2;0;0;0;1;0;0;0;1
IBIRAIARAS;1;0;0;0;0;2;0;0;1;0;0;1
IBIRAPUITA;0;0;0;0;0;3;0;1;0;0;0;2
IBIRUBA;1;1;0;0;0;0;1;0;0;1;1;4
IGREJINHA;9;11;6;9;4;12;2;6;7;6;9;13
IJUI;14;11;17;19;18;25;12;18;14;15;20;31
ILOPOLIS;0;0;0;0;0;0;1;0;0;0;0;0
IMBE;8;6;10;12;7;4;1;5;4;6;5;11
IMIGRANTE;0;0;0;0;0;0;1;0;0;2;0;0
INDEPENDENCIA;0;0;0;0;0;0;2;1;0;0;1;1
INHACORA;0;0;0;0;0;0;0;0;0;0;0;0
IPE;0;1;1;1;1;1;0;0;0;0;0;1
IPIRANGA DO SUL;0;0;0;0;0;0;0;0;0;0;0;0
IRAI;1;4;1;2;2;1;1;2;0;1;1;2
ITAARA;1;0;1;0;0;0;0;1;1;3;2;1
ITACURUBI;0;1;1;0;0;0;0;0;0;1;0;2
ITAPUCA;0;0;0;0;0;0;0;1;0;0;0;0
ITAQUI;9;4;10;7;6;8;0;3;5;0;7;8
ITATI;0;0;0;0;0;0;0;0;1;0;0;0
ITATIBA DO SUL;1;2;0;1;0;0;0;0;3;0;0;1
IVORA;2;0;0;0;0;0;0;1;0;0;0;0
IVOTI;1;0;3;0;1;2;1;3;1;0;3;3
JABOTICABA;0;0;1;0;0;0;0;0;0;0;1;0
JACUIZINHO;0;0;0;0;0;0;1;0;0;0;0;0
JACUTINGA;0;2;3;1;0;0;1;1;0;1;1;0
JAGUARAO;5;4;4;5;3;3;3;2;5;5;2;9
JAGUARI;2;1;2;4;1;1;1;0;0;2;2;1
JAQUIRANA;1;0;1;0;0;0;0;0;1;1;1;0
JARI;0;0;0;0;0;0;0;0;0;0;1;0
JOIA;3;1;0;1;0;0;1;0;0;1;0;0
JULIO DE CASTILHOS;1;3;3;5;5;5;2;4;3;2;4;8
LAGOA BONITA DO SUL;0;0;0;0;0;0;0;1;0;0;2;0
LAGOA DOS TRES CANTOS;0;0;0;0;0;0;0;0;0;0;0;0
LAGOA VERMELHA;4;4;3;6;7;1;5;2;2;6;2;2
LAGOAO;0;0;0;0;0;0;0;0;0;0;0;0
LAJEADO;14;14;8;5;9;8;6;12;9;8;12;22
LAJEADO DO BUGRE;0;0;1;0;0;0;0;0;0;0;0;0
LAVRAS DO SUL;0;1;3;0;0;1;1;0;1;1;2;1
LIBERATO SALZANO;0;0;0;0;0;0;0;0;0;0;0;1
LINDOLFO COLLOR;0;0;0;3;1;0;1;1;1;2;1;0
LINHA NOVA;0;0;0;0;0;1;0;0;0;0;0;0
MACAMBARA;0;0;0;0;0;0;0;0;2;1;0;2
MACHADINHO;2;1;1;1;1;2;0;1;1;2;1;1
MAMPITUBA;0;0;0;1;0;1;0;0;0;0;0;0
MANOEL VIANA;1;0;1;0;2;0;0;5;1;0;2;7
MAQUINE;4;3;2;0;0;0;0;2;1;0;1;0
MARATA;0;0;1;0;0;2;0;0;1;1;0;0
MARAU;2;3;2;4;4;2;2;5;3;5;6;2
MARCELINO RAMOS;1;0;1;0;1;1;0;0;0;0;2;0
MARIANA PIMENTEL;0;0;0;0;0;0;0;0;0;0;0;0
MARIANO MORO;0;0;0;0;0;1;0;0;0;0;0;1
MARQUES DE SOUZA;0;0;1;0;0;0;0;0;0;0;0;0
MATA;1;0;1;1;0;0;2;0;0;0;0;1
MATO CASTELHANO;0;0;0;0;0;1;0;0;1;0;0;1
MATO LEITAO;0;1;0;1;0;1;1;1;1;0;0;0
MATO QUEIMADO;0;0;0;0;0;0;0;0;0;1;0;0
MAXIMILIANO DE ALMEIDA;1;0;1;0;0;0;0;0;1;2;1;1
MINAS DO LEAO;1;1;2;2;2;0;1;1;0;0;1;0
MIRAGUAI;2;0;0;3;0;2;0;0;0;1;1;1
MONTAURI;0;0;0;0;0;0;0;0;0;0;0;0
MONTE ALEGRE DOS CAMPOS;1;0;0;1;0;0;0;0;0;0;3;0
MONTE BELO DO SUL;0;1;0;0;1;0;0;1;0;0;0;0
MONTENEGRO;14;11;11;7;12;4;9;6;4;4;8;7
MORMACO;0;0;0;0;0;0;0;0;0;0;0;0
MORRINHOS DO SUL;0;0;0;0;0;0;0;0;0;0;0;0
MORRO REDONDO;0;0;0;0;0;0;2;0;0;0;0;0
MORRO REUTER;0;0;0;1;0;0;0;0;0;0;1;2
MOSTARDAS;3;1;3;2;1;0;1;0;1;1;4;3
MUCUM;2;0;0;0;0;0;0;1;0;1;1;1
MUITOS CAPOES;0;0;2;0;0;0;2;0;1;1;0;0
MULITERNO;0;0;0;0;0;0;0;0;0;0;0;0
NAO-ME-TOQUE;1;2;4;2;3;0;5;2;1;1;1;5
NICOLAU VERGUEIRO;0;0;0;0;0;0;0;0;0;1;0;0
NONOAI;1;3;2;1;3;0;4;1;1;2;1;2
NOVA ALVORADA;0;0;0;0;0;0;0;0;0;2;0;0
NOVA ARACA;0;0;1;1;0;0;0;0;2;0;0;0
NOVA BASSANO;0;0;2;3;0;1;0;2;0;1;2;1
NOVA BOA VISTA;0;0;0;0;0;0;0;0;0;0;0;1
NOVA BRESCIA;0;0;1;0;0;0;0;0;0;1;1;0
NOVA CANDELARIA;0;0;0;1;0;0;0;0;0;1;0;0
NOVA ESPERANCA DO SUL;1;1;0;0;0;0;0;0;0;0;0;1
NOVA HARTZ;4;4;1;1;3;4;3;0;1;1;5;2
NOVA PADUA;0;0;0;0;0;0;0;0;0;0;0;0
NOVA PALMA;1;0;0;0;1;1;0;2;0;1;0;2
NOVA PETROPOLIS;0;2;5;0;2;1;1;2;2;1;1;1
NOVA PRATA;4;0;7;3;1;0;4;3;5;6;4;5
NOVA RAMADA;0;2;0;0;0;0;0;0;0;0;1;0
NOVA ROMA DO SUL;0;0;0;0;0;0;0;0;1;0;0;0
NOVA SANTA RITA;5;3;2;0;3;7;3;2;4;4;17;7
NOVO BARREIRO;1;0;0;1;0;0;0;0;0;0;0;0
NOVO CABRAIS;1;0;0;0;0;0;0;0;0;0;0;0
NOVO HAMBURGO;28;29;33;30;21;25;26;25;35;34;38;28
NOVO MACHADO;0;0;0;0;0;0;0;0;1;0;1;3
NOVO TIRADENTES;0;0;0;0;0;0;0;0;0;0;0;0
NOVO XINGU;0;0;0;0;0;0;0;0;0;0;0;0
OSORIO;13;16;10;7;8;10;9;2;7;7;4;11
PAIM FILHO;0;0;0;1;0;0;0;0;0;0;0;1
PALMARES DO SUL;3;2;0;0;2;0;3;1;1;0;3;4
PALMEIRA DAS MISSOES;14;3;7;5;2;4;0;2;5;5;5;11
PALMITINHO;0;1;2;0;0;1;0;2;1;0;1;2
PANAMBI;9;5;4;11;6;6;2;1;6;4;4;6
PANTANO GRANDE;3;0;0;0;0;0;1;1;2;1;0;3
PARAI;1;0;1;0;0;0;0;0;2;0;0;0
PARAISO DO SUL;0;2;1;0;1;0;2;0;0;1;0;1
PARECI NOVO;1;0;0;0;1;0;0;1;0;1;0;0
PAROBE;12;5;10;19;13;4;12;4;5;6;11;9
PASSA SETE;2;0;0;0;0;0;0;0;0;0;0;0
PASSO DO SOBRADO;0;0;0;0;0;0;0;0;1;1;3;1
PASSO FUNDO;61;51;40;48;38;31;36;49;42;60;52;50
PAULO BENTO;0;0;0;0;0;0;0;0;0;0;0;0
PAVERAMA;0;1;0;0;0;1;1;3;1;3;0;0
PEDRAS ALTAS;0;0;0;0;0;0;0;1;0;0;0;0
PEDRO OSORIO;4;2;1;2;1;4;1;1;3;0;1;2
PEJUCARA;0;0;1;0;0;0;0;1;0;1;1;0
PELOTAS;53;50;60;71;41;55;35;54;60;64;54;90
PICADA CAFE;0;1;0;0;0;1;0;1;0;0;0;0
PINHAL;2;0;0;0;0;0;0;0;1;0;0;1
PINHAL DA SERRA;1;0;0;0;0;0;0;0;0;0;0;0
PINHAL GRANDE;0;0;1;0;1;0;0;0;0;0;0;0
PINHEIRINHO DO VALE;0;0;2;1;0;1;1;1;1;2;0;0
PINHEIRO MACHADO;2;2;4;1;3;1;3;1;3;0;0;2
PINTO BANDEIRA;2;0;0;0;0;1;0;0;0;0;0;0
PIRAPO;0;0;0;0;0;0;0;0;0;0;0;0
PIRATINI;2;3;2;1;1;0;0;1;3;1;1;2
PLANALTO;2;0;1;0;1;0;1;0;0;1;1;0
POCO DAS ANTAS;0;1;0;0;0;0;0;0;0;0;0;0
PONTAO;0;0;0;0;0;0;0;0;0;0;1;1
PONTE PRETA;0;0;0;1;0;0;0;0;0;0;0;0
PORTAO;5;3;3;3;3;5;5;3;4;2;7;6
PORTO ALEGRE;369;290;347;303;243;281;218;209;303;309;296;352
PORTO LUCENA;0;0;2;0;0;0;0;0;0;0;2;0
PORTO MAUA;0;0;0;0;0;0;0;0;0;0;1;0
PORTO VERA CRUZ;0;0;1;0;0;0;0;1;0;0;0;0
PORTO XAVIER;2;0;0;2;1;2;0;0;1;1;0;2
POUSO NOVO;0;0;0;0;0;0;1;0;0;1;1;0
PRESIDENTE LUCENA;0;0;0;0;0;0;0;0;0;0;1;0
PROGRESSO;0;1;0;0;0;0;0;1;0;1;2;0
PROTASIO ALVES;0;1;0;0;0;0;0;1;0;1;0;0
PUTINGA;0;1;0;2;0;0;0;0;0;0;0;0
QUARAI;3;6;3;4;7;8;4;7;9;3;4;4
QUATRO IRMAOS;0;0;0;0;2;0;0;3;0;2;1;0
QUEVEDOS;0;0;0;0;0;0;0;1;0;0;0;0
QUINZE DE NOVEMBRO;1;1;0;0;0;0;0;1;0;0;0;0
REDENTORA;2;0;0;0;1;3;2;1;1;2;1;1
RELVADO;0;0;0;0;0;0;0;0;0;0;0;0
RESTINGA SECA;4;1;1;2;1;2;2;3;2;1;3;2
RIO DOS INDIOS;0;0;0;0;1;0;0;0;0;0;0;0
RIO GRANDE;47;41;58;41;38;33;28;26;26;44;34;54
RIO PARDO;4;2;9;4;3;2;9;0;3;7;5;9
RIOZINHO;0;0;0;0;0;0;0;0;1;0;0;0
ROCA SALES;1;2;1;3;0;2;5;4;1;2;1;1
RODEIO BONITO;1;0;0;0;0;1;0;0;0;0;0;0
ROLADOR;1;0;1;0;0;0;0;0;0;0;0;0
ROLANTE;3;4;0;2;1;2;4;4;2;3;2;3
RONDA ALTA;0;1;4;1;1;0;2;0;0;0;0;2
RONDINHA;1;1;0;0;0;1;0;0;0;0;0;0
ROQUE GONZALES;0;0;1;2;2;1;0;1;0;1;0;1
ROSARIO DO SUL;10;5;9;3;4;5;3;3;4;5;7;18
SAGRADA FAMILIA;0;0;0;1;0;0;0;0;0;0;0;0
SALDANHA MARINHO;0;0;0;1;1;1;0;0;0;0;1;0
SALTO DO JACUI;2;1;2;3;5;1;2;3;3;1;1;2
SALVADOR DAS MISSOES;0;0;0;1;0;0;0;0;0;0;0;0
SALVADOR DO SUL;1;1;1;1;0;0;0;0;0;0;1;0
SANANDUVA;0;0;0;0;1;1;1;2;1;2;1;0
SANTA BARBARA DO SUL;0;1;1;0;0;0;2;2;1;0;1;2
SANTA CECILIA DO SUL;1;0;0;0;0;0;0;0;0;0;0;0
SANTA CLARA DO SUL;0;0;0;2;0;1;0;0;0;2;0;0
SANTA CRUZ DO SUL;25;21;19;19;15;27;21;20;16;15;21;20
SANTA MARGARIDA DO SUL;0;2;0;0;1;0;0;0;0;0;0;1
SANTA MARIA;93;65;61;52;43;59;56;57;72;51;73;63
SANTA MARIA DO HERVAL;0;0;0;0;0;0;0;1;2;0;0;1
SANTA ROSA;14;14;5;12;14;20;3;12;13;14;17;13
SANTA TEREZA;0;0;0;0;0;0;0;0;0;0;0;0
SANTA VITORIA DO PALMAR;7;4;6;9;6;6;3;7;2;8;4;4
SANTANA DA BOA VISTA;0;0;1;0;0;0;0;0;2;0;0;3
SANTANA DO LIVRAMENTO;7;15;16;23;14;14;10;9;15;12;14;27
SANTIAGO;15;8;7;3;5;6;3;8;10;8;9;7
SANTO ANGELO;25;13;19;16;13;10;12;8;17;10;15;17
SANTO ANTONIO DA PATRULHA;5;9;9;4;3;7;5;5;6;6;5;4
SANTO ANTONIO DAS MISSOES;0;0;1;0;1;0;1;2;1;0;2;5
SANTO ANTONIO DO PALMA;1;0;0;0;0;0;0;0;1;0;0;1
SANTO ANTONIO DO PLANALTO;0;0;0;0;0;1;0;0;0;1;0;0
SANTO AUGUSTO;0;2;3;3;0;4;0;2;1;2;3;1
SANTO CRISTO;0;0;1;3;1;2;0;0;2;0;0;1
SANTO EXPEDITO DO SUL;0;0;0;0;0;0;0;0;0;0;0;0
SAO BORJA;14;4;8;5;9;7;2;9;12;12;10;14
SAO DOMINGOS DO SUL;0;0;0;1;1;2;0;0;0;0;0;0
SAO FRANCISCO DE ASSIS;3;3;7;2;1;0;0;1;2;1;5;2
SAO FRANCISCO DE PAULA;4;1;4;3;2;1;2;2;3;4;6;4
SAO GABRIEL;13;13;12;13;12;17;12;9;6;3;19;8
SAO JERONIMO;1;6;2;2;2;2;2;5;4;6;3;11
SAO JOAO DA URTIGA;0;0;0;0;0;0;0;0;0;0;0;0
SAO JOAO DO POLESINE;0;0;0;0;0;0;0;0;1;0;0;0
SAO JORGE;0;0;0;0;0;0;0;0;0;1;0;0
SAO JOSE DAS MISSOES;0;0;0;0;0;1;0;0;0;0;0;0
SAO JOSE DO HERVAL;1;1;0;0;0;0;0;0;0;1;0;0
SAO JOSE DO HORTENCIO;1;0;0;0;0;0;0;0;0;0;1;0
SAO JOSE DO INHACORA;0;0;0;0;0;0;0;2;0;0;0;0
SAO JOSE DO NORTE;4;0;4;1;5;1;2;1;1;0;3;3
SAO JOSE DO OURO;0;2;0;1;0;1;0;0;1;1;0;0
SAO JOSE DO SUL;0;0;0;0;0;0;0;0;0;0;0;0
SAO JOSE DOS AUSENTES;0;1;1;0;1;1;1;1;0;1;3;0
SAO LEOPOLDO;51;27;41;28;23;37;31;37;40;45;46;58
SAO LOURENCO DO SUL;6;5;7;6;6;6;4;5;0;6;6;13
SAO LUIZ GONZAGA;4;5;17;6;7;8;3;6;10;5;4;9
SAO MARCOS;2;0;3;0;3;0;4;4;5;3;2;0
SAO MARTINHO;0;2;0;1;0;0;0;0;0;1;1;1
SAO MARTINHO DA SERRA;0;0;1;0;0;1;2;1;1;0;1;0
